X,Y,fid,ENUMBER,BOROCODE,TAXBLOCK,TAXLOT,CEQR_NUM,ULURP_NUM,ZONING_MAP,DESCRIPTIO,BBL,x,y
998762.365913381,200713.077629705,5425,E-138,3,"2,738","10","04DCP003K","C050111ZMK; C050111AZMK; N050110ZRK; N050110AZRK",,Underground Gasoline Storage Tanks* Testing Protocol.,"3,027,380,010",998762.366,200713.078
998856.550530024,200729.735449334,5426,E-138,3,"2,738","15","04DCP003K","C050111ZMK; C050111AZMK; N050110ZRK; N050110AZRK",,Underground Gasoline Storage Tanks* Testing Protocol.,"3,027,380,015",998856.551,200729.735
998970.360963279,200745.220885963,5427,E-138,3,"2,738","7,501","04DCP003K","C050111ZMK; C050111AZMK; N050110ZRK; N050110AZRK",,Underground Gasoline Storage Tanks* Testing Protocol.,"3,027,387,501",998970.361,200745.221
999192.851176067,200933.030940675,4736,E-138,3,"2,734","35","04DCP003K","C050111ZMK; C050111AZMK; N050110ZRK; N050110AZRK",,Underground Gasoline Storage Tanks* Testing Protocol.,"3,027,340,035",999192.851,200933.031
999183.65161691,200984.662007779,4737,E-138,3,"2,734","38","04DCP003K","C050111ZMK; C050111AZMK; N050110ZRK; N050110AZRK",,Underground Gasoline Storage Tanks* Testing Protocol.,"3,027,340,038",999183.652,200984.662
998708.519973661,200991.236320512,4734,E-138,3,"2,733","10","04DCP003K","C050111ZMK; C050111AZMK; N050110ZRK; N050110AZRK",,Underground Gasoline Storage Tanks* Testing Protocol.,"3,027,330,010",998708.520,200991.236
999121.559651008,201001.95863158,5423,E-138,3,"2,734","7,502","04DCP003K","C050111ZMK; C050111AZMK; N050110ZRK; N050110AZRK",,Underground Gasoline Storage Tanks* Testing Protocol.,"3,027,347,502",999121.560,201001.959
999166.693874168,201048.080574059,5422,E-138,3,"2,734","11","04DCP003K","C050111ZMK; C050111AZMK; N050110ZRK; N050110AZRK",,Underground Gasoline Storage Tanks* Testing Protocol.,"3,027,340,011",999166.694,201048.081
999204.304876551,201050.92126415,4735,E-138,3,"2,734","13","04DCP003K","C050111ZMK; C050111AZMK; N050110ZRK; N050110AZRK",,Underground Gasoline Storage Tanks* Testing Protocol.,"3,027,340,013",999204.305,201050.921
998199.076623408,201070.059076018,7059,E-138,3,"2,722","36","04DCP003K","C050111ZMK; C050111AZMK; N050110ZRK; N050110AZRK",,Underground Gasoline Storage Tanks* Testing Protocol.,"3,027,220,036",998199.077,201070.059
998463.15806046,201078.56430936,7058,E-138,3,"2,722","25","04DCP003K","C050111ZMK; C050111AZMK; N050110ZRK; N050110AZRK",,Underground Gasoline Storage Tanks* Testing Protocol.,"3,027,220,025",998463.158,201078.564
