X,Y,fid,ID_NUMBER,FACILITY_NAME,ACTIVITY_LOCATION,FULL_ENFORCEMENT,HREPORT_UNIVERSE_RECORD,STREET_ADDRESS,CITY_NAME,STATE_CODE,ZIP_CODE,LATITUDE83,LONGITUDE83,FED_WASTE_GENERATOR,TRANSPORTER,ACTIVE_SITE,OPERATING_TSDF
1002246.79782376,199304.266042097,476727,NYP004542320,CON EDISON SERVICE BOX: 72183,NY,------,Other,376 DEVOE ST,BROOKLYN,NY,"11211",40.713702,-73.935082,N  ,N  ,-----,------         
1002190.59219352,199582.937630576,483857,NYP004734646,CON EDISON,NY,------,Other,MORGAN AVE & METROPOLITAN AVE,BROOKLYN,NY,"11211",40.714467,-73.935284,N  ,N  ,-----,------         
1001910.86731535,199594.755013562,311685,NYP004009635,CON ED-MH 17532,NY,------,Other,S/S METROPOLITAN AVE,GLENDALE,NY,11378-0000,40.7145,-73.936293,N  ,N  ,-----,------         
1000208.84241277,199002.628828214,752242,NYP004883134,CON EDISON,NY,------,Other,317 HUMBOLDT ST,BROOKLYN,NY,"11211",40.712878,-73.942434,N  ,N  ,-----,------         
999355.099441312,198367.416694374,756236,NYP004799441,CON EDISON,NY,------,Other,230 MANHATTAN AVE,BROOKLYN,NY,"11206",40.711136,-73.945515,N  ,N  ,-----,------         
1000167.25519176,199429.233117165,792348,NYR000113308,NEW YORK HEATING CORP,NY,------,Other,354 HUMBOLDT ST,BROOKLYN,NY,"11211",40.714049,-73.942583,N  ,N  ,-----,------         
999406.479090086,198221.716428818,795698,NYR000000091,NYCHA - WILLIAMSBURG HOUSES,NY,------,Other,124 MAUJER ST BLDG #7,BROOKLYN,NY,"11206",40.710736,-73.94533,N  ,N  ,-----,------         
999689.851152573,199470.093450979,810914,NYD982743981,GATTI CLEANERS,NY,------,Other,334 GRAHAM AVE,BROOKLYN,NY,11211-3736,40.714162,-73.944305,N  ,N  ,-----,------         
1002122.83996326,198604.658721091,813362,NYD982187080,MULLER TOURS INC,NY,------,Other,345 TEN EYCK ST,BROOKLYN,NY,11206-1748,40.711782,-73.935531,N  ,N  ,-----,------         
1002190.59219352,199582.937630576,815341,NYP004462784,CON EDISON MANHOLE: 15339,NY,------,Other,METROPOLITAN AVE & MORGAN AVE,BROOKLYN,NY,"11211",40.714467,-73.935284,N  ,N  ,-----,------         
1000616.05513056,198644.034545435,815787,NYP004445862,CON EDISON SERVICE BOX: 68622,NY,------,Other,812 GRAND ST,BROOKLYN,NY,"11212",40.711893,-73.940966,N  ,N  ,-----,------         
999677.939173529,199456.605609026,820614,NYP004372058,CON EDISON SERVICE BOX: 12945,NY,------,Other,327 GRAHAM AVE,BROOKLYN,NY,"11211",40.714125,-73.944348,N  ,N  ,-----,------         
1001425.89481329,199362.691719274,821552,NYP004542270,CON EDISON SERVICE BOX: 63689,NY,------,Other,285 DEVOE ST,BROOKLYN,NY,"11211",40.713864,-73.938043,N  ,N  ,-----,------         
1000033.25017203,198315.749868673,824566,NYP004468484,CON EDISON SERVICE BOX: 15192,NY,------,Other,181 MAUJER ST,BROOKLYN,NY,"11211",40.710993,-73.943069,N  ,N  ,-----,------         
999629.627769821,198264.11951247,824969,NYP004474185,CON EDISON,NY,------,Other,151 MAUJER ST,BROOKLYN,NY,"11206",40.710852,-73.944525,N  ,N  ,-----,------         
1000981.76568663,199386.791042077,828085,NYP004479705,CON EDISON SERVICE BOX: 12563,NY,------,Other,253 DEVOE ST,BROOKLYN,NY,"11211",40.713931,-73.939645,N  ,N  ,-----,------         
1001974.93528379,198037.651120672,831152,NYP004726584,CON EDISON,NY,------,Other,323 STAGG ST,BROOKLYN,NY,"11206",40.710226,-73.936066,N  ,N  ,-----,------         
